	Protein.Accession	ARO.Accession	Model.Name	ARO.Name	AMR.Gene.Family	Drug.Class	Resistance.Mechanism
360	ACN32294.1	ARO:3000237	tolC	TolC	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;aminocoumarin antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
361	ACQ82810.1	ARO:3002502	PDC-5	PDC-5	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
362	ACR57831.1	ARO:3003022	dfrB3	dfrB3	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
363	ACS44784.1	ARO:3002185	MOX-6	MOX-6	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
364	ACS83748.1	ARO:3000573	tet(43)	tet(43)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
365	ACT09140.1	ARO:3002387	BEL-3	BEL-3	BEL beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
366	ACT66697.1	ARO:3000846	SIM-1 beta-lactamase	SIM-1	SIM beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
367	ACT97371.1	ARO:3003097	CfxA6	CfxA6	CfxA beta-lactamase	cephamycin	antibiotic inactivation
368	ACT97415.1	ARO:3002999	CblA-1	CblA-1	CblA beta-lactamase	cephalosporin	antibiotic inactivation
369	ACX71212.1	ARO:3001860	IMI-3	IMI-3	IMI beta-lactamase	carbapenem	antibiotic inactivation
370	ACX92986.2	ARO:3002832	vgaD	vgaD	ATP-binding cassette (ABC) antibiotic efflux pump	streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
371	ACX92987.1	ARO:3002845	vatH	vatH	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
372	ACZ65153.1	ARO:3002265	IND-9	IND-9	IND beta-lactamase	carbapenem	antibiotic inactivation
373	ADC55560.1	ARO:3000858	armA	armA	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
374	ADE08374.2	ARO:3003196	tet(45)	tet(45)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
375	ADI81040.1	ARO:3002800	QnrVC3	QnrVC3	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
376	ADJ67256	ARO:3003319	Staphylococcus aureus mprF mutations conferring resistance to daptomycin	Staphylococcus aureus mprF with mutation conferring resistance to daptomycin	daptomycin resistant mprF	peptide antibiotic	antibiotic target alteration
377	ADK25051.1	ARO:3002268	IND-12	IND-12	IND beta-lactamase	carbapenem	antibiotic inactivation
378	ADM92605.1	ARO:3000553	adeR	adeR	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
379	ADM92606.1	ARO:3000549	adeS	adeS	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
380	ADQ43421.1	ARO:3002646	APH(3)-IIc	APH(3)-IIc	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
381	ADT64081.1	ARO:3000813	MexS	MexS	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
382	ADT70779.1	ARO:3001805	OXA-198	OXA-198	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
383	ADV91011.1	ARO:3000245	RbpA	RbpA	RbpA bacterial RNA polymerase-binding protein	rifamycin antibiotic	antibiotic target protection
384	ADX95999.1	ARO:3002873	FosB3	FosB3	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
385	ADZ48685.1	ARO:3002346	GES-17	GES-17	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
386	ADZ54048.1	ARO:3001766	OXA-192	OXA-192	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
387	AEA37904.1	ARO:3003112	lsaC	lsaC	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
388	AEG74319.1	ARO:3002794	QnrS5	QnrS5	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
389	AEH41427.1	ARO:3002218	IMP-27	IMP-27	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
390	AEJ33969.1	ARO:3000410	sul1	sul1	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement
391	AEL31272.1	ARO:3002756	QnrB41	QnrB41	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
392	AEM44648.1	ARO:3001970	CTX-M-110	CTX-M-110	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
393	AEM66528.1	ARO:3001809	OXA-209	OXA-209	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
394	AEP40500.1	ARO:3002912	vanN	vanN	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
395	AEP40501.1	ARO:3002969	vanXYN	vanXYN	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration
396	AEP40502.2	ARO:3002975	vanTN	vanTN	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration
397	AEP40503.1	ARO:3002929	vanRN	vanRN	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
398	AEP40504.1	ARO:3002940	vanSN	vanSN	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
399	AEP96393.1	ARO:3003723	vanI	vanI	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
400	AET10444.1	ARO:3004032	tetA(46)	tetA(46)	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
401	AET10445.1	ARO:3004033	tetB(46)	tetB(46)	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
402	AET15272.1	ARO:3003197	aadA25	aadA25	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
403	AET35493.1	ARO:3001777	OXA-347	OXA-347	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
404	AEV91550.1	ARO:3001710	OXA-211	OXA-211	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
405	AEV91554.1	ARO:3001714	OXA-215	OXA-215	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
406	AEX49906.1	ARO:3003583	basS	basS	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
407	AEZ36150.1	ARO:3000448	qepA	QepA1	major facilitator superfamily (MFS) antibiotic efflux pump	N/A	antibiotic efflux
408	AEZ36150.1	ARO:3000448	qepA	QepA1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
409	AFC91828.1	ARO:3003041	Streptococcus pneumoniae PBP1a conferring resistance to amoxicillin	Streptococcus pneumoniae PBP1a conferring resistance to amoxicillin	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target alteration
410	AFC91898.1	ARO:3003043	Streptococcus pneumoniae PBP2x conferring resistance to amoxicillin	Streptococcus pneumoniae PBP2x conferring resistance to amoxicillin	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target alteration
411	AFH35853.1	ARO:3001328	Escherichia coli mdfA	Escherichia coli mdfA	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic;benzalkonium chloride;rhodamine	antibiotic efflux
412	AFJ11385.1	ARO:3002666	rmtF	rmtF	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
413	AFK13828.1	ARO:3000823	ramA	ramA	resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic efflux;reduced permeability to antibiotic
414	AFK31666.1	ARO:3000567	tet(40)	tet(40)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
415	AFK58561.1	ARO:3003079	Enterococcus faecium liaS mutant conferring daptomycin resistance	Enterococcus faecium liaS mutant conferring daptomycin resistance	daptomycin resistant liaS	peptide antibiotic	antibiotic target alteration
416	AFK58562.1	ARO:3003078	Enterococcus faecium liaR mutant conferring daptomycin resistance	Enterococcus faecium liaR mutant conferring daptomycin resistance	daptomycin resistant liaR	peptide antibiotic	antibiotic target alteration
417	AFK80333.1	ARO:3001313	facT	facT	major facilitator superfamily (MFS) antibiotic efflux pump	elfamycin antibiotic	antibiotic efflux
418	AFN51819.1	ARO:3003327	Mycobacterium tuberculosis mutant embC conferring resistance to ethambutol	Mycobacterium tuberculosis mutant embC conferring resistance to ethambutol	ethambutol resistant arabinosyltransferase	polyamine antibiotic	antibiotic target alteration
419	AFN51820.1	ARO:3003453	Mycobacterium tuberculosis embA mutant conferring resistance to ethambutol	Mycobacterium tuberculosis embA mutant conferring resistance to ethambutol	ethambutol resistant arabinosyltransferase	polyamine antibiotic	antibiotic target alteration
420	AFO09968.1	ARO:3001476	OXA-184	OXA-184	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
421	AFO53532.1	ARO:3002883	rgt1438	rgt1438	rifampin glycosyltransferase	rifamycin antibiotic	antibiotic inactivation
422	AFP97028.1	ARO:3002228	IMP-37	IMP-37	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
423	AFQ90085.1	ARO:3001610	OXA-243	OXA-243	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
424	AFU35063.1	ARO:3002630	ANT(9)-Ia	ANT(9)-Ia	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
425	AFU35065.1	ARO:3003206	lsaE	lsaE	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;pleuromutilin antibiotic	antibiotic efflux
426	AGC29882.1	ARO:3002853	arr-8	arr-8	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
427	AGC51118.1	ARO:3000617	mecA	mecA	methicillin resistant PBP2	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target replacement
428	AGC60012.1	ARO:3001786	OXA-244	OXA-244	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
429	AGC92784.1	ARO:3000848	DIM-1 beta-lactamase	DIM-1	DIM beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation
430	AGE00988.1	ARO:3002668	rmtG	rmtG	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
431	AGH19769.1	ARO:3003198	rmtH	rmtH	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
432	AGI04227.1	ARO:3003687	APH(3)-VI	APH(3)-VI	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
433	AGI42804.1	ARO:3002836	lnuB	lnuB	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
434	AGN33258.1	ARO:3002829	vgaA	vgaA	ATP-binding cassette (ABC) antibiotic efflux pump	streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
435	AGN74946	ARO:3003749	salA	salA	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
436	AGS82587.1	ARO:3002222	IMP-31	IMP-31	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
437	AGT57825	ARO:3003762	lnuE	lnuE	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
438	AGU01679.2	ARO:3003894	Rm3 beta-lactamase	Rm3	Rm3 family beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
439	AGV10818.1	ARO:3002669	APH(2)-Ig	APH(2)-Ig	APH(2)	aminoglycoside antibiotic	antibiotic inactivation
440	AGV10830.1	ARO:3002647	APH(3)-IIIa	APH(3)-IIIa	APH(3)	aminoglycoside antibiotic	antibiotic inactivation
441	AGV28567.1	ARO:3000559	adeN	adeN	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux
442	AGW81558.1	ARO:3002631	spd	spd	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
443	AGW83449.1	ARO:3001538	OXA-351	OXA-351	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
444	AGZ55247.1	ARO:3002814	clbA	clbA	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
445	AHA11126.1	ARO:3001550	OXA-363	OXA-363	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
446	AHA41499.1	ARO:3002948	vanHO	vanHO	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
447	AHA41500.1	ARO:3002913	vanO	vanO	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
448	AHA41501.1	ARO:3002954	vanXO	vanXO	vanX;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
449	AHA41504.1	ARO:3002941	vanSO	vanSO	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
450	AHA41505.1	ARO:3002930	vanRO	vanRO	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
451	AHA80960.1	ARO:3001388	TEM-211	TEM-211	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
452	AHB39758.1	ARO:3003013	dfrA15	dfrA15	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
453	AHG97174.1	ARO:3003011	dfrA10	dfrA10	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
454	AHH83938.1	ARO:3000013	vanB	vanB	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
455	AHH86051.1	ARO:3004063	EdeQ	EdeQ	Edeine acetyltransferase	peptide antibiotic;polyamine antibiotic	antibiotic inactivation
456	AHJ02283.1	ARO:3003186	CARB-23	CARB-23	CARB beta-lactamase	penam	antibiotic inactivation
457	AHV80711.1	ARO:3002863	dfrA8	dfrA8	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
458	AHW42429.1	ARO:3002858	dfrA12	dfrA12	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
459	AIA08936.1	ARO:3000444	rphA	rphA	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
460	AIA09786.1	ARO:3000861	rmtC	rmtC	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
461	AIA58910.1	ARO:3002236	IMP-45	IMP-45	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
462	AIA58911.1	ARO:3001396	OXA-1	OXA-1	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
463	AIL15701	ARO:3003775	Escherichia coli murA with mutation conferring resistance to fosfomycin	Escherichia coli murA with mutation conferring resistance to fosfomycin	murA transferase	fosfomycin	antibiotic target alteration
464	AIN56719.1	ARO:3002496	OXA-418	OXA-418	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
465	AIT76100.1	ARO:3002152	DHA-21	DHA-21	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
466	AIT76110.1	ARO:3002239	IMP-48	IMP-48	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
467	AIT76113.1	ARO:3002174	MIR-9	MIR-9	MIR beta-lactamase	monobactam;cephalosporin;cephamycin	antibiotic inactivation
468	AIY26289.1	ARO:3003194	GIM-2	GIM-2	GIM beta-lactamase	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
469	AJA36815.1	ARO:3003193	QnrVC7	QnrVC7	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
470	AJD73064.1	ARO:3001301	RlmA(II)	RlmA(II)	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic;lincosamide antibiotic	antibiotic target alteration
471	AJE60855.1	ARO:3003209	FosA5	FosA5	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
472	AJF82049.1	ARO:3003573	LpxA	LpxA	Acinetobacter mutant Lpx gene conferring resistance to colistin	peptide antibiotic	antibiotic target alteration
473	AJF83452.1	ARO:3003574	LpxC	LpxC	Acinetobacter mutant Lpx gene conferring resistance to colistin	peptide antibiotic	antibiotic target alteration
474	AJK71171.1	ARO:3003789	Campylobacter jejuni gyrA conferring resistance to fluoroquinolones	Campylobacter jejuni gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
475	AJP77054	ARO:3003716	CPS-1	CPS-1	CPS beta-lactamase	carbapenem	antibiotic inactivation
476	AJP77057	ARO:3003718	MSI-1	MSI-1	MSI beta-lactamase	carbapenem	antibiotic inactivation
477	AJP77058	ARO:3003719	MSI-OXA	MSI-OXA	MSI-OXA family beta-lactamase	carbapenem	antibiotic inactivation
478	AJP77059	ARO:3003670	PEDO-1	PEDO-1	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
479	AJP77071	ARO:3003714	PEDO-2	PEDO-2	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
480	AJP77076	ARO:3003715	PEDO-3	PEDO-3	subclass B1 PEDO beta-lactamase	carbapenem	antibiotic inactivation
481	AJP77080	ARO:3003720	SPG-1	SPG-1	SPG beta-lacatamase	carbapenem	antibiotic inactivation
482	AJP77085	ARO:3003717	ESP-1	ESP-1	ESP beta-lactamase	carbapenem	antibiotic inactivation
483	AKF16168	ARO:3003689	MCR-1	MCR-1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
484	AKJ52802.1	ARO:3003310	Mycoplasma hominis parC conferring resistance to fluoroquinolone	Mycoplasma hominis parC conferring resistance to fluoroquinolone	fluoroquinolone resistant parC;fluoroquinolone self resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
485	AKN19287.1	ARO:3002578	AAC(6)-Ib7	AAC(6)-Ib7	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
486	ALH22601.1	ARO:3000620	adeL	adeL	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
487	ALL09868	ARO:3003092	Enterococcus faecium cls conferring resistance to daptomycin	Enterococcus faecium cls conferring resistance to daptomycin	daptomycin resistant cls	peptide antibiotic	antibiotic target alteration
488	ALU64000	ARO:3003713	VCC-1	VCC-1	VCC beta-lactamase	monobactam;carbapenem;penam	antibiotic inactivation
489	ALX06067.1	ARO:3000594	ErmR	ErmR	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
490	ALX99516.1	ARO:3003811	adeC	adeC	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
491	AML99881.1	ARO:3001327	mdtK	MdtK	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic	antibiotic efflux
492	AMP35312.1	ARO:3002831	vgaC	vgaC	ATP-binding cassette (ABC) antibiotic efflux pump	streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
493	AMY61250.1	ARO:3004092	HMB-1 beta-lactamase	HMB-1	HMB beta-lactamase	carbapenem	antibiotic inactivation
494	ANK04027.1	ARO:3003838	gadW	gadW	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam	antibiotic efflux
495	ANP63073.1	ARO:3003741	mphD	mphD	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
496	ANZ79240.1	ARO:3004035	tetA(60)	tetA(60)	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
497	ANZ79241.1	ARO:3004036	tetB(60)	tetB(60)	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
498	ANZ79476.1	ARO:3003908	Erm(47)	Erm(47)	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
499	APB03214.1	ARO:3003980	tetA(48)	tetA(48)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
500	APB03215.1	ARO:3003981	tetB(48)	tetB(48)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
501	APB03216.1	ARO:3003982	LlmA 23S ribosomal RNA methyltransferase	LlmA 23S ribosomal RNA methyltransferase	Llm 23S ribosomal RNA methyltransferase	lincosamide antibiotic	antibiotic target alteration
502	APB03217.1	ARO:3003983	CatU	CatU	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
503	APB03218.1	ARO:3003984	BahA	BahA	Bah amidohydrolase	peptide antibiotic	antibiotic inactivation
504	APB03219.1	ARO:3003986	TaeA	TaeA	ATP-binding cassette (ABC) antibiotic efflux pump	pleuromutilin antibiotic	antibiotic efflux
505	APB03220.1	ARO:3003987	VatI	VatI	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
506	APB03221.1	ARO:3003988	AAC(2)-IIb	AAC(2)-IIb	AAC(2)	aminoglycoside antibiotic	antibiotic inactivation
507	APB03222.1	ARO:3003992	rphB	rphB	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
508	APB03223.1	ARO:3003989	AAC(6)-34	AAC(6)-34	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
509	APB03224.1	ARO:3003994	cpaA	cpaA	cpa acetyltransferase	aminoglycoside antibiotic	antibiotic inactivation
510	APB03225.1	ARO:3003990	VgbC	vgbC	streptogramin vgb lyase	streptogramin antibiotic	antibiotic inactivation
511	APB03226.1	ARO:3003991	mphI	mphI	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
512	APU52409.1	ARO:3004085	lnuG	lnuG	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
513	BAA03402.1	ARO:3001306	ErmW	ErmW	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
514	BAA03674.1	ARO:3001300	myrA	myrA	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic;lincosamide antibiotic	antibiotic target alteration
515	BAA03776.1	ARO:3000316	mphA	mphA	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
516	BAA07390.1	ARO:3002893	tcr3	tcr3	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
517	BAA11236.1	ARO:3000206	emrK	emrK	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
518	BAA11237.1	ARO:3000254	emrY	emrY	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
519	BAA12910.1	ARO:3000318	mphB	mphB	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
520	BAA15934.1	ARO:3000829	baeS	baeS	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;aminocoumarin antibiotic	antibiotic efflux
521	BAA16547.1	ARO:3000027	emrA	emrA	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
522	BAA23130.1	ARO:3002493	SRT-1	SRT-1	SRT beta-lactamase	cephalosporin	antibiotic inactivation
523	BAA32493.1	ARO:3000423	FomA	FomA	Fom phosphotransferase family	fosfomycin	antibiotic inactivation
524	BAA32494.1	ARO:3000449	FomB	FomB	Fom phosphotransferase family	fosfomycin	antibiotic inactivation
525	BAA34300.1	ARO:3003033	mexY	mexY	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;acridine dye;phenicol antibiotic	antibiotic efflux
526	BAA37152.1	ARO:3003702	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	fluoroquinolone resistant parC;fluoroquinolone resistant gyrA;fluoroquinolone self resistant parC	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
527	BAA78619.1	ARO:3002544	AAC(3)-Xa	AAC(3)-Xa	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
528	BAB20748.1	ARO:3002825	ErmY	ErmY	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
529	BAB41258.1	ARO:3000124	mecI	mecI	methicillin resistant PBP2	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target replacement
530	BAB59035.1	ARO:3002870	tet34	tet34	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic target alteration;antibiotic inactivation
531	BAC11901.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
532	BAC11911.1	ARO:3003551	emeA	emeA	multidrug and toxic compound extrusion (MATE) transporter	acridine dye	antibiotic efflux
533	BAC20579.1	ARO:3000859	rmtA	rmtA	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
534	BAD00739.1	ARO:3002607	aadA7	aadA7	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
535	BAD10948.2	ARO:3002563	AAC(6)-Isa	AAC(6)-Isa	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
536	BAD11815.1	ARO:3002593	AAC(6)-Ib-SK	AAC(6)-Ib-SK	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
537	BAD12078.1	ARO:3002572	AAC(6)-Iad	AAC(6)-Iad	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
538	BAD14386.1	ARO:3002573	AAC(6)-Iae	AAC(6)-Iae	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
539	BAD63613.1	ARO:3002816	clbC	clbC	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
540	BAD89844.2	ARO:3000753	abeM	abeM	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic;acridine dye;triclosan	antibiotic efflux
541	BAD95494.1	ARO:3002895	SAT-1	SAT-2	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
